depth,bulkDens,cruc,sedMass,postOven,post550,post950,orgMass,orgPer,CO3mass,minFrac,minPer,X,sedRate,MAR,OrgMAR
1,0.761570225,36,0.49,7.33,7.31,7.31,0.03,0.032893401,0.01,0.47,0.95,1.03E-05,0.909090909,0.692336568,0.022773304
2,0.995497095,56,0.65,7.13,7.1,7.09,0.05,0.046422552,0.01,0.61,0.94,7.72E-06,0.454545455,0.452498679,0.021006144
3,0.472524803,4,0.57,5.17,5.12,5.11,0.08,0.076841734,0.02,0.51,0.91,1.02E-05,0.454545455,0.214784002,0.016504375
4,0.516806487,57,0.46,7.39,7.34,7.33,0.1,0.101530502,0.02,0.41,0.88,8.68E-06,0.454545455,0.23491204,0.023850737
5,0.514190692,2,0.49,5.19,5.15,5.14,0.1,0.099490316,0.02,0.43,0.88,6.88E-06,0.454545455,0.233723042,0.023253179
6,0.33295342,58,0.53,7.13,7.09,7.08,0.08,0.076718572,0.02,0.48,0.91,6.61E-06,0.454545455,0.151342464,0.011610778
7,0.501485398,25,0.58,5.68,5.65,5.63,0.06,0.060716139,0.02,0.53,0.92,7.86E-06,0.526315789,0.263939683,0.016025399
8,0.474953756,22,0.54,6.68,6.65,6.64,0.06,0.058428225,0.02,0.5,0.92,7.64E-06,0.5,0.237476878,0.013875352
9,0.545767082,13,0.62,5.5,5.46,5.45,0.06,0.064319022,0.02,0.57,0.92,7.02E-06,0.526315789,0.287245833,0.018475371
10,0.491769586,53,0.6,6.99,6.96,6.95,0.06,0.05920398,0.01,0.56,0.93,6.61E-06,0.5,0.245884793,0.014557358
11,0.674501598,7,0.73,5.98,5.94,5.93,0.06,0.055708391,0.01,0.68,0.93,7.53E-06,0.526315789,0.355000841,0.019776526
12,0.653575232,51,0.59,7.19,7.15,7.14,0.07,0.065423729,0.01,0.54,0.92,7.28E-06,0.4,0.261430093,0.017103731
13,0.829020385,12,0.49,6.92,6.9,6.89,0.04,0.042288049,0.02,0.46,0.94,6.63E-06,0.384615385,0.318853994,0.013483713
14,0.586311915,31,0.6,7.09,7.06,7.05,0.05,0.050833333,0.02,0.56,0.93,5.40E-06,0.4,0.234524766,0.011921676
15,0.826965116,61,0.56,7.19,7.17,7.16,0.05,0.047413793,0.01,0.52,0.94,6.77E-06,0.4,0.330786047,0.015683821
16,0.877973132,59,0.57,6.71,6.69,6.68,0.04,0.04340949,0.01,0.54,0.95,6.56E-06,0.4,0.351189253,0.015244946
17,0.896283702,32,0.65,7.31,7.28,7.27,0.04,0.037645236,0.01,0.61,0.95,6.55E-06,0.285714286,0.256081058,0.009640232
18,0.908988995,6,0.62,5.44,5.41,5.41,0.05,0.045726289,0.01,0.58,0.94,7.53E-06,0.277777778,0.252496943,0.011545748
19,0.816128249,26,0.58,5.63,5.6,5.59,0.05,0.051541096,0.02,0.54,0.93,6.75E-06,0.285714286,0.2331795,0.012018327
20,0.78249659,R,0.45,4.7,4.68,4.67,0.05,0.0480282,0.01,0.43,0.94,6.13E-06,0.285714286,0.223570454,0.010737687
21,0.952710151,1,0.47,4.98,4.97,4.96,0.03,0.031590181,0.01,0.45,0.96,5.27E-06,0.285714286,0.2722029,0.008598939
22,0.827899329,A,0.53,5.31,5.28,5.28,0.04,0.039564973,0.01,0.51,0.95,5.20E-06,0.2,0.165579866,0.006551163
23,0.960557538,11,0.59,5.55,5.52,5.52,0.04,0.042961454,0.01,0.56,0.95,5.90E-06,0.196078431,0.188344615,0.008091558
24,0.815194036,23,0.57,5.24,5.21,5.21,0.05,0.046528023,0.01,0.54,0.94,5.05E-06,0.2,0.163038807,0.007585873
25,0.911044263,10,0.52,5.24,5.21,5.21,0.05,0.045841393,0.01,0.49,0.95,4.69E-06,0.204081633,0.185927401,0.008523171
26,0.999420788,15,0.48,5.23,5.21,5.2,0.03,0.029953917,0.03,0.45,0.94,4.34E-06,0.2,0.199884158,0.005987313
26,1.058089348,42,0.58,5.68,5.66,5.66,0.03,0.034867743,0.01,0.56,0.95,4.06E-06,0.166666667,0.176348225,0.006148865
27,1.039965621,M,0.55,5.64,5.62,5.61,0.03,0.034703196,0.01,0.52,0.96,3.57E-06,0.163934426,0.170486167,0.005916415
28,1.055099867,30,0.65,5.36,5.34,5.33,0.04,0.03739762,0.01,0.62,0.95,4.81E-06,0.166666667,0.175849978,0.006576371
29,0.994189197,38,0.68,5.23,5.2,5.2,0.03,0.034599032,0.01,0.65,0.96,4.72E-06,0.166666667,0.165698199,0.005732997
30,1.071728854,21,0.61,5.63,5.6,5.6,0.04,0.036085022,0.01,0.58,0.96,4.33E-06,0.169491525,0.181648958,0.006554807
31,1.062013042,44,0.6,5.16,5.14,5.13,0.03,0.033023565,0.01,0.58,0.95,4.57E-06,0.185185185,0.196669082,0.006494714
32,,5,0.69,5.36,5.33,5.33,0.03,0.032654241,0.01,0.66,0.95,5.32E-06,0.2,,0
34,1.16384223,P,0.6,4.91,4.89,4.89,0.04,0.037754761,0.01,0.57,0.95,3.99E-06,0.212765957,0.247626006,0.009349061
35,1.013620822,73,0.5,7.25,7.23,7.22,0.04,0.035649547,0.01,0.47,0.95,4.83E-06,0.227272727,0.230368369,0.008212528
36,1.112086844,9,0.73,5.47,5.45,5.44,0.04,0.035587189,0.01,0.7,0.96,4.54E-06,0.23255814,0.258624848,0.009203731
37,1.235216083,66,0.62,7.82,7.81,7.8,0.03,0.0257566,0.01,0.6,0.96,3.79E-06,0.185185185,0.228743719,0.005891661
38,1.148707984,64,0.61,6.71,6.7,6.68,0.01,0.007905138,0.03,0.59,0.96,4.72E-06,0.185185185,0.212723701,0.00168161
39,1.229984492,44,0.55,5.11,5.09,5.09,0.03,0.027494538,0.01,0.53,0.96,3.96E-06,0.192307692,0.236535479,0.006503434
40,1.061826199,74,0.47,7.32,7.31,7.3,0.03,0.025789813,0.01,0.45,0.97,4.89E-06,0.188679245,0.200344566,0.005166849
41,1.155247473,11,0.44,5.4,5.39,5.39,0.03,0.030685921,0.01,0.43,0.96,3.90E-06,0.196078431,0.226519112,0.006950947
42,1.14254218,63,0.58,7.95,7.93,7.92,0.03,0.033721328,0.01,0.56,0.96,4.18E-06,0.196078431,0.224027878,0.007554518
43,1.170381719,5,0.4,5.07,5.06,5.05,0.03,0.026719446,0.01,0.39,0.96,3.60E-06,0.188679245,0.220826739,0.005900368
