cruc#,crucible_wt,mean_depth,mm,dry_wt,post550,per_org,bulkDens,sedRate,MAR,OrgMAR
52,6.1292,0.5,5,7.1398,7.0763,6.35,1.0106,0.833,0.8418298,0.0528955
2,4.7208,1.5,15,5.521,5.467,6.4,0.8002,0.833333333,0.666833333,0.045
40,6.8755,2.5,25,7.7091,7.6418,6.73,0.8336,1.111111111,0.926222222,0.074777778
M,5.0948,3.5,35,6.0188,5.9671,6.17,0.924,1,0.924,0.0517
36,6.8465,4.5,45,7.786,7.7221,6.39,0.9395,1.111111111,1.043888889,0.071
,4.5502,5.5,55,5.485,5.434,6.1,0.9348,1.111111111,1.038666667,0.056666667
64,6.1089,6.5,65,7.1425,7.0802,6.23,1.0336,1.111111111,1.148444444,0.069222222
21,5.0239,7.5,75,5.9575,5.9043,6.32,0.9336,1.111111111,1.037333333,0.059111111
51,6.6011,8.5,85,7.6317,7.571,6.07,1.0306,1.25,1.28825,0.075875
6,4.8317,9.5,95,5.7889,5.7392,5.97,0.9572,1.25,1.1965,0.062125
65,7.418,10.5,105,8.4377,8.3765,6.12,1.0197,1.111111111,1.133,0.068
11,4.989,11.5,115,5.9158,5.8674,5.84,0.9268,1.25,1.1585,0.0605
47,7.1486,12.5,125,8.1277,8.0676,6.01,0.9791,1.428571429,1.398714286,0.085857143
15,4.7573,13.5,135,5.7925,5.7505,5.2,1.0352,1.25,1.294,0.0525
60,6.608,14.5,145,7.5787,7.5126,6.61,0.9707,1.428571429,1.386714286,0.094428571
23,4.6791,15.5,155,5.6384,5.5878,6.06,0.9593,1.25,1.199125,0.06325
61,6.6465,16.5,165,7.569,7.504,6.5,0.9225,1.428571429,1.317857143,0.092857143
4,4.6155,17.5,175,5.6103,5.5583,6.2,0.9948,0.833333333,0.829,0.043333333
69,7.4057,18.5,185,8.3267,8.2687,5.8,0.921,0.909090909,0.837272727,0.052727273
5,4.6724,19.5,195,5.5047,5.4459,6.88,0.8323,0.909090909,0.756636364,0.053454545
22,6.159,20.5,205,7.2189,7.1553,6.36,1.0599,0.909090909,0.963545455,0.057818182
A,4.7798,21.5,215,5.6082,5.5515,6.67,0.8284,0.833333333,0.690333333,0.04725
39,6.5114,22.5,225,7.4435,7.378,6.55,0.9321,0.625,0.5825625,0.0409375
44,4.5632,23.5,235,5.4086,5.3502,6.84,0.8454,0.625,0.528375,0.0365
59,6.1507,24.5,245,6.9844,6.9217,6.27,0.8337,0.625,0.5210625,0.0391875
25,5.118,25.5,255,6.0776,6.0362,5.14,0.9596,0.625,0.59975,0.025875
3,7.0008,26.5,265,7.9426,7.8832,5.94,0.9418,0.588235294,0.554,0.034941176
8,5.033,27.5,275,5.9848,5.9361,5.87,0.9518,0.909090909,0.865272727,0.044272727
17,6.9606,28.5,285,7.9565,7.8898,6.67,0.9959,0.909090909,0.905363636,0.060636364
28,4.9802,29.5,295,5.9493,5.8943,6.5,0.9691,0.909090909,0.881,0.05
68,6.9457,30.5,305,7.8937,7.8307,6.3,0.948,1,0.948,0.063
9,4.7486,31.5,315,5.6588,5.6044,6.44,0.9102,0.833333333,0.7585,0.045333333
58,6.6217,32.5,325,7.5932,7.5322,6.1,0.9715,1,0.9715,0.061
13,4.8902,33.5,335,5.7319,5.6747,6.72,0.8417,1,0.8417,0.0572
34,6.5633,34.5,345,7.406,7.3428,6.32,0.8427,1.111111111,0.936333333,0.070222222
1,4.5205,35.5,355,5.3788,5.3251,6.37,0.8583,1.111111111,0.953666667,0.059666667
29,6.7772,39,390,7.7936,7.7236,7,1.0164,0.714285714,0.726,0.05
18,6.7762,44,440,7.7066,7.6405,6.61,0.9304,0.555555556,0.516888889,0.036722222
40,6.8766,47,470,8.0953,8.0475,4.78,1.2187,0.555555556,0.677055556,0.026555556
32,6.6689,49,490,7.8582,7.8029,5.53,1.1893,0.434782609,0.517086957,0.024043478
12,6.4361,54,540,7.5415,7.483,5.85,1.1054,0.37037037,0.409407407,0.021666667
43,5.8844,59,590,6.7331,6.651,8.21,0.8487,0.476190476,0.404142857,0.039095238
46,6.493,64,640,7.3649,7.297,6.79,0.8719,0.5,0.43595,0.03395
72,6.5568,66,660,7.3992,7.3333,6.59,0.8424,0.588235294,0.495529412,0.038764706
24,6.7022,69,690,7.6566,7.5953,6.13,0.9544,0.384615385,0.367076923,0.023576923
74,6.8621,73,730,7.9821,7.9115,7.06,1.12,0.416666667,0.466666667,0.029416667
