depth,min,max,median,wmean,date
1,-5.3,6.8,1.1,1.1,2014.6
2,-1.6,7.8,3.3,3.3,2012.4
3,1.7,9.1,5.5,5.5,2010.2
4,4.3,11.1,7.7,7.7,2008
5,6,13.7,9.9,10,2005.7
6,7.1,16.9,12.1,12.1,2003.6
7,10,18.1,14,14.1,2001.6
8,12.5,19.5,16,16,1999.7
9,14.3,21.4,17.9,18,1997.7
10,15.8,24,19.9,19.9,1995.8
11,16.9,26.9,21.8,21.8,1993.9
12,20.4,28.4,24.3,24.4,1991.3
13,23.3,30.4,26.9,26.9,1988.8
14,25.7,33.2,29.4,29.5,1986.2
15,27.4,36.7,31.9,32,1983.7
16,28.8,40.5,34.4,34.5,1981.2
17,33.4,42.9,37.9,38,1977.7
18,37.4,45.8,41.5,41.6,1974.1
19,40.5,49.6,45,45.1,1970.6
20,43,54.2,48.5,48.6,1967.1
21,45.2,59.2,52,52.1,1963.6
22,51.5,62.7,57,57.1,1958.6
23,56.8,67.4,62.1,62.1,1953.6
24,60.8,73.4,67.1,67.1,1948.6
25,64,80.1,72,72.1,1943.6
26,66.9,87.4,77,77.1,1938.6
27,74.2,92.1,83,83.2,1932.5
28,79.1,99.4,89.1,89.3,1926.4
29,82.3,108.7,95.1,95.4,1920.3
30,84.7,119,101.1,101.4,1914.3
31,86.7,129.4,107,107.4,1908.3
32,90.9,135.9,112.4,112.9,1902.8
33,93.6,145.7,117.4,118.4,1897.3
34,95.5,158.5,122.1,123.8,1891.9
35,97.1,172.5,126.5,129.2,1886.5
36,98.6,187.3,130.8,134.5,1881.2
37,103.3,192.9,136.2,139.9,1875.8
38,106.6,199.8,141.6,145.2,1870.5
39,109.3,207.4,146.8,150.6,1865.1
40,111.4,216.8,152.1,156,1859.7
41,113.5,227.6,157.2,161.3,1854.4
42,118.1,232.7,162.3,166.5,1849.2
43,121.6,239.4,167.6,171.8,1843.9
44,124.4,246.7,172.8,177,1838.7
45,127.3,255.6,178.1,182.3,1833.4
46,129.8,264.4,183.2,187.6,1828.1
47,134.4,270.1,188.5,192.9,1822.8
48,138.5,275.6,193.9,198.2,1817.5
49,141.7,282,199.4,203.4,1812.3
50,144.8,288.5,204.5,208.6,1807.1
51,147.1,296.8,209.5,213.6,1802.1
52,152.1,301.8,214.8,218.9,1796.8
53,156.2,307.2,220.4,224.2,1791.5
54,160,314.7,225.8,229.4,1786.3
55,163.6,321.2,231,234.7,1781
56,167,328.6,236.4,240,1775.7
57,172.6,333.6,241.7,245.4,1770.3
58,176.7,338.9,246.8,250.6,1765.1
59,180.7,344.5,252.1,255.9,1759.8
60,184.8,351.7,257.7,261.2,1754.5
61,187.6,358.8,262.8,266.4,1749.3
62,194,363.8,268,271.6,1744.1
63,199,370.1,273.3,276.9,1738.8
64,203.7,376.7,278.4,282.2,1733.5
65,208.3,383.2,283.5,287.4,1728.3
66,211.6,390.5,288.6,292.6,1723.1
67,217.5,394.9,293.9,297.9,1717.8
68,222.3,399.9,299.1,303.2,1712.5
69,226.9,405.7,304.4,308.5,1707.2
70,230.7,412.4,309.4,313.7,1702
71,234.5,419.1,314.5,319,1696.7
72,241.7,423,319.3,324.1,1691.6
73,248.4,427.7,324.5,329.4,1686.3
74,253.4,433.1,329.5,334.6,1681.1
75,258,438.6,334.6,339.8,1675.9
76,262.3,445.8,339.5,345,1670.7
77,269.3,449.8,344.7,350.3,1665.4
78,275.5,454.8,349.9,355.5,1660.2
79,281.1,460.3,355.4,360.8,1654.9
80,286.3,467.1,360.8,366.1,1649.6
81,290.6,473.3,365.8,371.3,1644.4
