file0me,position,IA_1,core_depth_mm,core_depth,(mm),sample,surface,validity,E-gain,E-offset,F-slope,F-offset,cps,MSE,Al,Si,P,S,Cl,Ar,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,Br,Rb,Sr,Y,Zr,Ba,La,Ce,Pr,Nd,Fe,a*2,Fe,a+b,FeX1,FeX2,FeX3,W,La,W,Lb1,W,Lb2,W,La,inel,W,Lb1,inel,W,Lb2,inel,Mo,inc,Mo,coh,Dt
C:\Data\coo_6\coo_6\XRF,data\L000000.spe,IA_1,2,0.2,63.08,4.7,0,0.017495,0.000423,0.009332,0.090851,165404,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.385,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000001.spe,IA_1,4,0.4,65.08,4.72,1,0.017496,0.000423,0.009336,0.090851,172833,1.52,71,526,35,122,323,521,2151,2610,3164,178,358,413,98640,397,223,423,713,771,2568,308,1100,81,10,45,55,84,259,181,409,413,1746,1521,1393,384,782,698,769,43425,10709,0.397,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000002.spe,IA_1,6,0.6,67.08,4.78,1,0.017496,0.000423,0.009336,0.090851,187532,1.59,40,666,23,102,594,481,2636,3394,3772,80,364,559,112953,521,356,485,750,739,2529,210,921,41,24,104,93,53,438,381,444,566,1986,1824,1401,379,788,611,717,43666,10547,0.402,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000003.spe,IA_1,8,0.8,69.08,4.76,1,0.017496,0.000423,0.009336,0.090851,181037,1.68,45,554,6,69,488,365,2363,2898,3529,46,378,463,101500,487,304,398,746,827,2534,138,1133,0,0,160,119,19,236,88,353,362,1875,1811,1235,347,812,528,713,44360,11076,0.404,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000004.spe,IA_1,10,1,71.08,4.79,1,0.017496,0.000423,0.009336,0.090851,189465,1.61,88,515,8,126,499,418,2339,2802,3390,127,296,422,102010,499,268,455,863,909,2686,225,1256,0,0,121,92,33,354,29,245,524,1963,1891,1467,385,872,564,731,47284,11417,0.413,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000005.spe,IA_1,12,1.2,73.08,4.87,1,0.017496,0.000423,0.009336,0.090851,194966,1.57,53,554,12,117,532,451,2561,3186,3671,146,416,444,101812,543,335,429,787,782,2683,162,1120,110,51,39,172,68,320,128,537,415,1727,1914,1585,537,1128,821,605,47785,11656,0.419,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000006.spe,IA_1,14,1.4,75.08,4.9,1,0.017496,0.000423,0.009336,0.090851,200840,1.59,51,572,8,115,620,478,2974,3340,3917,146,673,572,106778,565,327,555,873,796,2814,269,1297,0,0,179,151,35,328,339,393,501,1680,2125,1615,279,908,731,640,48426,11393,0.421,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000007.spe,IA_1,16,1.6,77.08,4.91,1,0.017496,0.000423,0.009336,0.090851,199368,1.59,5,572,0,88,686,441,2968,3537,4292,146,560,516,112345,504,370,546,752,842,3106,158,1101,102,8,55,127,32,293,305,449,477,1781,2014,1592,507,863,694,704,46653,11503,0.414,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000008.spe,IA_1,18,1.8,79.08,4.91,1,0.017496,0.000423,0.009336,0.090851,196423,1.56,47,461,8,92,610,443,2285,3227,4317,153,494,480,111988,483,443,531,684,849,3309,145,1020,13,0,91,94,122,473,252,569,503,1747,2175,1606,447,982,770,708,45340,11442,0.412,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000009.spe,IA_1,20,2,81.08,4.91,1,0.017496,0.000423,0.009336,0.090851,197757,1.56,26,439,0,51,588,496,2280,3034,3891,67,301,451,117114,473,407,441,570,851,3275,158,1042,0,0,144,132,48,645,250,449,491,2055,2123,1584,393,956,808,779,43722,10980,0.41,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000010.spe,IA_1,22,2.2,83.08,4.94,1,0.017496,0.000423,0.009336,0.090851,184196,1.62,31,409,28,110,616,506,2232,2812,3537,105,363,413,106713,474,382,473,681,794,3134,141,1381,0,0,134,156,44,413,125,520,413,1825,1971,1542,392,896,646,643,43396,11095,0.401,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000011.spe,IA_1,24,2.4,85.08,4.97,1,0.017496,0.000423,0.009336,0.090851,190307,1.68,34,399,4,66,573,474,2164,2994,3796,197,329,450,109941,428,391,486,664,769,3204,352,1204,37,0,49,124,85,366,215,446,501,1750,2396,1482,384,1065,690,761,43892,11166,0.407,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000012.spe,IA_1,26,2.6,87.08,4.97,1,0.017496,0.000423,0.009336,0.090851,195612,1.53,6,341,0,67,671,506,2230,2930,4048,154,357,482,108561,433,347,505,624,839,3195,237,1112,0,39,134,95,21,267,183,540,447,1941,2280,1611,430,1047,670,755,46844,11581,0.413,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000013.spe,IA_1,28,2.8,89.08,4.98,1,0.017496,0.000423,0.009336,0.090851,199465,1.61,42,384,30,87,673,524,2362,2738,3951,150,498,533,107029,474,398,423,618,1010,3116,195,1356,0,12,180,54,34,395,0,424,366,1842,2178,1673,503,1072,727,630,47042,12020,0.418,,,,,,,,,,,,,,
