depth,min,max,median,wmean,date
0.2,-0.8,1.1,0,0,2015
0.4,-0.7,1.3,0.1,0.1,2014.9
0.6,-0.6,1.4,0.2,0.2,2014.8
0.8,-0.5,1.5,0.3,0.3,2014.7
1,-0.4,1.6,0.4,0.4,2014.6
1.2,-0.3,1.7,0.5,0.5,2014.5
1.4,-0.2,1.8,0.6,0.6,2014.4
1.6,-0.1,1.9,0.7,0.7,2014.3
1.8,0,2,0.9,0.9,2014.1
2,0.1,2.1,1.1,1.1,2013.9
2.2,0.3,2.2,1.3,1.3,2013.7
2.4,0.6,2.4,1.5,1.5,2013.5
2.6,0.8,2.5,1.7,1.7,2013.3
2.8,1,2.7,1.9,1.9,2013.1
3,1.2,2.8,2.1,2.1,2012.9
3.2,1.5,3,2.3,2.3,2012.7
3.4,1.7,3.1,2.5,2.5,2012.5
3.6,1.9,3.3,2.7,2.7,2012.3
3.8,2.1,3.5,2.8,2.8,2012.2
4,2.3,3.7,3,3,2012
4.2,2.5,3.9,3.2,3.2,2011.8
4.4,2.7,4.1,3.4,3.4,2011.6
4.6,2.9,4.3,3.6,3.6,2011.4
4.8,3.1,4.5,3.8,3.8,2011.2
5,3.2,4.8,4,4,2011
5.2,3.4,5,4.2,4.2,2010.8
5.4,3.6,5.2,4.4,4.4,2010.6
5.6,3.7,5.5,4.5,4.6,2010.4
5.8,3.9,5.7,4.7,4.8,2010.2
6,4,5.9,4.9,4.9,2010.1
6.2,4.1,6.2,5.1,5.1,2009.9
6.4,4.3,6.4,5.3,5.3,2009.7
6.6,4.4,6.7,5.5,5.5,2009.5
6.8,4.6,6.9,5.7,5.7,2009.3
7,4.7,7.2,5.9,5.9,2009.1
7.2,4.9,7.3,6,6.1,2008.9
7.4,5.2,7.3,6.2,6.2,2008.8
7.6,5.4,7.4,6.4,6.4,2008.6
7.8,5.6,7.5,6.5,6.6,2008.4
8,5.8,7.6,6.7,6.7,2008.3
8.2,6,7.7,6.9,6.9,2008.1
8.4,6.2,7.9,7,7,2008
8.6,6.4,8,7.2,7.2,2007.8
8.8,6.6,8.1,7.3,7.4,2007.6
9,6.8,8.2,7.5,7.5,2007.5
9.2,6.9,8.4,7.7,7.7,2007.3
9.4,7.1,8.6,7.9,7.9,2007.1
9.6,7.2,8.7,8,8,2007
9.8,7.3,8.9,8.2,8.2,2006.8
10,7.4,9.1,8.4,8.3,2006.7
10.2,7.5,9.3,8.5,8.5,2006.5
10.4,7.6,9.5,8.7,8.7,2006.3
10.6,7.8,9.8,8.8,8.8,2006.2
10.8,7.9,10,9,9,2006
11,7.9,10.2,9.2,9.2,2005.8
11.2,8,10.4,9.3,9.3,2005.7
11.4,8.1,10.7,9.5,9.5,2005.5
11.6,8.2,10.9,9.7,9.7,2005.3
11.8,8.3,11.1,9.8,9.8,2005.2
12,8.4,11.4,10,10,2005
12.2,8.6,11.4,10.1,10.1,2004.9
12.4,8.9,11.5,10.3,10.3,2004.7
12.6,9.1,11.6,10.4,10.4,2004.6
12.8,9.4,11.7,10.6,10.6,2004.4
13,9.6,11.7,10.7,10.7,2004.3
13.2,9.8,11.8,10.9,10.9,2004.1
13.4,10,11.9,11,11,2004
13.6,10.3,12,11.2,11.2,2003.8
13.8,10.5,12.2,11.3,11.3,2003.7
14,10.6,12.3,11.5,11.5,2003.5
14.2,10.8,12.4,11.6,11.6,2003.4
14.4,11,12.6,11.8,11.8,2003.2
14.6,11.2,12.8,11.9,11.9,2003.1
14.8,11.3,12.9,12.1,12.1,2002.9
15,11.4,13.1,12.2,12.2,2002.8
15.2,11.5,13.3,12.4,12.4,2002.6
15.4,11.6,13.5,12.5,12.5,2002.5
15.6,11.7,13.7,12.7,12.7,2002.3
15.8,11.8,13.9,12.8,12.8,2002.2
16,11.9,14.2,13,13,2002
16.2,12,14.4,13.1,13.2,2001.8
16.4,12.1,14.6,13.2,13.3,2001.7
16.6,12.1,14.9,13.4,13.5,2001.5
16.8,12.2,15.1,13.6,13.6,2001.4
17,12.3,15.4,13.7,13.8,2001.2
17.2,12.5,15.5,13.9,14,2001
17.4,12.8,15.7,14.2,14.2,2000.8
17.6,13.1,15.9,14.4,14.4,2000.6
17.8,13.4,16.1,14.6,14.7,2000.3
18,13.6,16.2,14.9,14.9,2000.1
18.2,13.9,16.4,15.1,15.1,1999.9
18.4,14.1,16.7,15.3,15.4,1999.6
18.6,14.4,16.8,15.5,15.6,1999.4
18.8,14.6,17.1,15.8,15.8,1999.2
19,14.8,17.3,16,16,1999
19.2,15,17.5,16.2,16.3,1998.7
19.4,15.2,17.8,16.5,16.5,1998.5
19.6,15.5,18,16.7,16.7,1998.3
19.8,15.7,18.3,16.9,17,1998
20,15.9,18.5,17.2,17.2,1997.8
20.2,16,18.8,17.4,17.4,1997.6
20.4,16.2,19,17.6,17.6,1997.4
20.6,16.4,19.3,17.8,17.9,1997.1
20.8,16.6,19.6,18.1,18.1,1996.9
21,16.7,19.9,18.3,18.3,1996.7
21.2,16.9,20.2,18.5,18.6,1996.4
21.4,17.1,20.5,18.8,18.8,1996.2
21.6,17.2,20.7,19,19,1996
21.8,17.4,21.1,19.2,19.2,1995.8
22,17.6,21.3,19.5,19.5,1995.5
22.2,18.1,21.5,19.8,19.8,1995.2
22.4,18.6,21.6,20.1,20.1,1994.9
22.6,19.1,21.7,20.4,20.4,1994.6
22.8,19.5,21.8,20.7,20.7,1994.3
23,19.9,22.1,21,21,1994
23.2,20.3,22.3,21.3,21.3,1993.7
