File #,depth,depth_mm,SiO2,SiO2 Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,As,As Err,Se,Se Err,Br,Br Err,Rb,Rb Err,Sr,Sr Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Ba,Ba Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,,
121,2,20,26.4,1.813945975,0.649,0.017787917,0.25,0.02333431,0.0198,0.005,0.0164,0.001730433,0.0575,0.000850647,5.29,0.036891733,0,0,0.0015,0.00026096,0.0031,0.00025318,0.0075,0.00022891,0.0021,0.000287924,0.0008,0.0003,0.0004,0,0.0067,0.0003,0.0255,0.00031686,0.0157,0.000167631,0.0015,0.0006,0.001,0.0005,0,0.001,0,0.0007,0,0.0021,0,0.0008,0,0.0038,0.0538,0.013030503,0,0.0169,0,0.0006,0.0002,0.0001,0,0.0007,0,0.001,0,0.0006,0,0,0,0.0009,0,0.0013,0,0.0016,0,0.0009,,
122,4,40,25.7,1.813945975,0.558,0.017787917,0.227,0.02333431,0.0198,0.0049,0.0123,0.001730433,0.0532,0.000850647,5.3,0.036891733,0,0.0002,0.0014,0.00026096,0.0032,0.00025318,0.0077,0.00022891,0.0016,0.000287924,0.0008,0.0004,0.0006,0,0.0071,0.0004,0.0246,0.00031686,0.0127,0.000167631,0.0012,0.0006,0.0012,0.0004,0,0.001,0,0.0007,0,0.0015,0,0.0008,0,0.0049,0.0719,0.013030503,0,0.0165,0,0.0005,0.0002,0.0001,0,0.0006,0,0.001,0,0.0006,0,0,0,0.0009,0,0.0013,0,0.0016,0,0.0009,,
123,6,60,23.4,1.813945975,0.584,0.017787917,0.243,0.02333431,0.0198,0.0051,0.0127,0.001730433,0.0467,0.000850647,4.87,0.036891733,0,0.0001,0.0021,0.00026096,0.0031,0.00025318,0.0077,0.00022891,0.0008,0.000287924,0.0008,0.0004,0.0005,0,0.0071,0.0004,0.0269,0.00031686,0.015,0.000167631,0.001,0.0007,0.0007,0.0005,0,0.001,0,0.001,0,0.002,0,0.0008,0,0.0048,0.0461,0.013030503,0,0.0166,0,0.0006,0.0002,0.0001,0,0.0006,0,0.0011,0,0.0006,0,0,0.0009,0.0009,0.0025,0.0013,0,0.0017,0,0.001,,
124,8,80,18.8,1.813945975,0.651,0.017787917,0.278,0.02333431,0.0198,0.0049,0.0114,0.001730433,0.0471,0.000850647,4.77,0.036891733,0,0.0001,0.0012,0.00026096,0.0024,0.00025318,0.0071,0.00022891,0.0008,0.000287924,0.0008,0.0004,0.0004,0,0.0069,0.0004,0.027,0.00031686,0.0138,0.000167631,0.0021,0.0007,0.0006,0.0005,0,0.001,0,0.0007,0,0.0014,0,0.0008,0,0.0048,0.0437,0.013030503,0,0.0164,0,0.0006,0.0002,0.0001,0,0.0007,0,0.0011,0,0.0006,0,0,0,0.0009,0,0.0013,0,0.0017,0,0.001,,
125,10,100,23.9,1.813945975,0.57,0.017787917,0.232,0.02333431,0.0198,0.0049,0.0126,0.001730433,0.045,0.000850647,5.29,0.036891733,0,0.0001,0.0014,0.00026096,0.0033,0.00025318,0.0081,0.00022891,0.0008,0.000287924,0.0008,0.0003,0.0004,0,0.007,0.0003,0.0248,0.00031686,0.015,0.000167631,0.0019,0.0006,0.0006,0.0004,0,0.001,0,0.0007,0,0.0015,0,0.0006,0,0.005,0.0563,0.013030503,0,0.0165,0,0.0005,0.0002,0.0001,0,0.0006,0,0.001,0,0.0006,0,0,0.0004,0.0009,0.0023,0.0013,0,0.0017,0,0.0009,,
126,12,120,22.2,1.813945975,0.531,0.017787917,0.189,0.02333431,0.0198,0.0048,0.014,0.001730433,0.0465,0.000850647,4.88,0.036891733,0,0.0001,0.0018,0.00026096,0.0028,0.00025318,0.0076,0.00022891,0.0013,0.000287924,0.0008,0.0003,0.0004,0,0.0071,0.0003,0.024,0.00031686,0.0139,0.000167631,0.0002,0.0006,0.0002,0.0004,0,0.001,0,0.0007,0,0.0015,0,0.0008,0,0.0051,0.0554,0.013030503,0,0.0162,0,0.0006,0.0002,0.0001,0,0.0006,0,0.001,0,0.0006,0,0,0,0.0009,0,0.0013,0,0.0018,0,0.0009,,
127,14,140,21.1,1.813945975,0.579,0.017787917,0.217,0.02333431,0.0198,0.0052,0.0163,0.001730433,0.0454,0.000850647,5.17,0.036891733,0,0.0002,0.0023,0.00026096,0.0028,0.00025318,0.0085,0.00022891,0.0013,0.000287924,0.0008,0.0004,0.0004,0,0.0072,0.0004,0.0249,0.00031686,0.0149,0.000167631,0.0019,0.0007,0,0.0005,0,0.001,0,0.001,0,0.0021,0,0.0008,0,0.0053,0.0288,0.013030503,0,0.0173,0,0.0007,0.0002,0.0001,0,0.0007,0,0.0011,0,0.0006,0,0,0,0.0009,0,0.0013,0,0.0017,0,0.001,,
128,15,150,22,1.813945975,0.535,0.017787917,0.189,0.02333431,0.0198,0.0048,0.0138,0.001730433,0.0529,0.000850647,4.63,0.036891733,0,0.0001,0.0022,0.00026096,0.0031,0.00025318,0.0083,0.00022891,0.0016,0.000287924,0.0008,0.0004,0.0005,0,0.0072,0.0004,0.0236,0.00031686,0.0123,0.000167631,0.0018,0.0006,0.0007,0.0005,0,0.0009,0,0.001,0,0.0014,0,0.0007,0,0.0047,0.044,0.013030503,0,0.0159,0,0.0006,0.0003,0.0001,0,0.0007,0,0.001,0,0.0006,0,0,0,0.0012,0,0.0013,0,0.0016,0,0.001,,
129,16,160,21.7,1.813945975,0.496,0.017787917,0.212,0.02333431,0.0198,0.005,0.0142,0.001730433,0.0591,0.000850647,5.4,0.036891733,0,0.0002,0.0028,0.00026096,0.004,0.00025318,0.0122,0.00022891,0.0017,0.000287924,0.0008,0.0004,0.0007,0,0.0076,0.0004,0.0199,0.00031686,0.0114,0.000167631,0.0014,0.0006,0.0005,0.0004,0,0.0009,0,0.001,0,0.0014,0,0.0007,0,0.0047,0.0511,0.013030503,0,0.0166,0,0.0006,0.0001,0.0001,0,0.0008,0,0.001,0,0.0006,0,0,0,0.0009,0,0.0013,0,0.0016,0,0.0009,,
130,17,170,22.9,1.813945975,0.468,0.017787917,0.21,0.02333431,0.0198,0.0051,0.0168,0.001730433,0.0567,0.000850647,5.27,0.036891733,0,0.0002,0.0035,0.00026096,0.0036,0.00025318,0.0109,0.00022891,0.0018,0.000287924,0.0008,0.0004,0.0007,0,0.008,0.0004,0.0209,0.00031686,0.0132,0.000167631,0.0014,0.0007,0.0006,0.0005,0,0.001,0,0.001,0,0.002,0,0.0008,0,0.0048,0.0448,0.013030503,0,0.0166,0,0.0006,0.0001,0.0001,0,0.0008,0,0.001,0,0.0006,0,0,0,0.0009,0,0.0013,0,0.0018,0,0.001,,
131,18,180,22.4,1.813945975,0.521,0.017787917,0.207,0.02333431,0.0198,0.0047,0.0118,0.001730433,0.0538,0.000850647,5.18,0.036891733,0,0.0001,0.0022,0.00026096,0.0031,0.00025318,0.0121,0.00022891,0.0012,0.000287924,0.0008,0.0003,0.0005,0,0.0073,0.0003,0.0223,0.00031686,0.0124,0.000167631,0,0.0006,0.0007,0.0004,0,0.0009,0,0.0007,0,0.0015,0,0.0006,0,0.005,0.0631,0.013030503,0,0.0157,0,0.0005,0.0002,0.0001,0,0.0006,0,0.001,0,0.0005,0,0,0,0.0009,0.0023,0.0013,0,0.0018,0,0.0009,,
132,19,190,22,1.813945975,0.52,0.017787917,0.195,0.02333431,0.0198,0.0049,0.0191,0.001730433,0.0488,0.000850647,4.89,0.036891733,0,0.0001,0.0021,0.00026096,0.0029,0.00025318,0.0111,0.00022891,0.0014,0.000287924,0.0008,0.0004,0.0005,0,0.0074,0.0004,0.0244,0.00031686,0.0147,0.000167631,0.0001,0.0007,0.0005,0.0005,0,0.001,0,0.0007,0,0.0014,0,0.0007,0,0.0048,0.0303,0.013030503,0,0.0165,0,0.0006,0.0002,0.0001,0,0.0007,0,0.0011,0,0.0006,0,0,0,0.0009,0.0026,0.0013,0,0.0016,0,0.001,,
133,20,200,26.6,1.813945975,0.559,0.017787917,0.238,0.02333431,0.0198,0.0049,0.0099,0.001730433,0.0499,0.000850647,5.25,0.036891733,0,0.0001,0.0015,0.00026096,0.0034,0.00025318,0.0076,0.00022891,0.0011,0.000287924,0.0008,0.0003,0.0004,0,0.0067,0.0003,0.0257,0.00031686,0.0148,0.000167631,0.0009,0.0006,0.0007,0.0004,0,0.001,0,0.0007,0,0.002,0,0.0006,0,0.005,0.0871,0.013030503,0,0.0166,0,0.0005,0.0002,0.0001,0,0.0007,0,0.001,0,0.0006,0,0,0,0.0009,0,0.0013,0,0.0018,0,0.0009,,
134,21,210,21.8,1.813945975,0.547,0.017787917,0.233,0.02333431,0.0198,0.0049,0.0107,0.001730433,0.0497,0.000850647,5.33,0.036891733,0,0.0001,0.0016,0.00026096,0.0034,0.00025318,0.0108,0.00022891,0.0013,0.000287924,0.0008,0.0003,0.0004,0,0.0066,0.0003,0.0245,0.00031686,0.0139,0.000167631,0.0021,0.0006,0.0006,0.0004,0,0.001,0,0.0007,0,0.0015,0,0.0008,0,0.0052,0.0215,0.013030503,0,0.0162,0,0.0005,0.0002,0.0001,0,0.0006,0,0.001,0,0.0006,0,0,0,0.0011,0,0.0013,0,0.0016,0,0.0009,,
135,22,220,22.1,1.813945975,0.502,0.017787917,0.214,0.02333431,0.0198,0.005,0.019,0.001730433,0.0556,0.000850647,5.27,0.036891733,0,0.0002,0.0016,0.00026096,0.0026,0.00025318,0.0113,0.00022891,0.0011,0.000287924,0.0008,0.0004,0.0005,0,0.0073,0.0004,0.0233,0.00031686,0.0138,0.000167631,0.002,0.0007,0.0003,0.0005,0,0.001,0,0.0007,0,0.0015,0,0.0006,0,0.0049,0.0386,0.013030503,0,0.0163,0,0.0006,0.0002,0.0001,0,0.0007,0,0.001,0,0.0006,0,0,0,0.0009,0,0.0013,0,0.0016,0,0.001,,
136,23,230,18.4,1.813945975,0.511,0.017787917,0.25,0.02333431,0.0198,0.0048,0.0148,0.001730433,0.0479,0.000850647,4.96,0.036891733,0,0.0001,0.0021,0.00026096,0.0029,0.00025318,0.0097,0.00022891,0.0017,0.000287924,0.0008,0.0003,0.0006,0,0.007,0.0003,0.0217,0.00031686,0.0121,0.000167631,0.0018,0.0006,0.0004,0.0004,0,0.0009,0,0.001,0,0.0014,0,0.0008,0,0.0049,0.0547,0.013030503,0,0.0157,0,0.0006,0.0001,0.0001,0,0.0006,0,0.001,0,0.0006,0,0,0,0.0012,0,0.0013,0,0.0016,0,0.0009,,
137,24,240,29.4,1.813945975,0.594,0.017787917,0.271,0.02333431,0.0198,0.0049,0.0087,0.001730433,0.0461,0.000850647,4.54,0.036891733,0,0.0001,0.0013,0.00026096,0.003,0.00025318,0.0076,0.00022891,0.0014,0.000287924,0.0008,0.0003,0.0004,0,0.0066,0.0003,0.0262,0.00031686,0.0156,0.000167631,0.0014,0.0006,0.0003,0.0004,0,0.0009,0,0.0007,0,0.0014,0,0.0007,0,0.0035,0.0279,0.013030503,0,0.0124,0.0001,0.0006,0.0001,0.0001,0,0.0006,0,0.001,0,0.0006,0,0,0,0.0012,0,0.0015,0,0.0016,0,0.0009,,
138,25,250,21.9,1.813945975,0.567,0.017787917,0.212,0.02333431,0.0198,0.0047,0.0128,0.001730433,0.0416,0.000850647,4.83,0.036891733,0,0.0001,0.0014,0.00026096,0.003,0.00025318,0.0069,0.00022891,0.0008,0.000287924,0.0008,0.0003,0.0004,0,0.006,0.0003,0.0244,0.00031686,0.0134,0.000167631,0.0009,0.0006,0.0009,0.0004,0,0.0009,0.0018,0.0007,0,0.0015,0,0.0006,0,0.0051,0,0.013030503,0,0.0054,0,0.0156,0,0.0005,0.0002,0.0001,0,0.001,0,0.0006,0,0,0,0.0009,0,0.0012,0,0.0018,0,0.0009,,
