Year,Industry,NIP,State,BLM,USFS,Native_American,other_public,total_private,total
1925,,,,,,,,,326650
1926,,,,,,,,,308215
1927,,,,,,,,,291640
1928,,,,,,,,,298580
1929,,,,,,,,,338255
1930,,,,,,,,,138330
1931,,,,,,,,,97137
1932,,,,,,,,,56285
1933,,,,,,,,,105931
1934,,,,,,,,,369190
1935,,,,,,,,,214120
1936,,,,,,,,,248128
1937,,,,,,,,,565956
1938,,,,,,,,,275965
1939,,,,,,,,,332084
1940,,,,,,,,,398408
1941,,,,,,,,,561767
1942,,,,,,,,,450835
1943,,,,,,,,,423132
1944,,,,,,,,,0
1945,,,,,,,,,289950
1946,,,,,,,,,422722
1947,,,,,,,,,560623
1948,,,,,,,,,530356
1949,,,,,,,,,413079
1950,,,,,,,,,557931
1951,,,,,,,,,695544
1952,,,,,,,,,743610
1953,--,--,--,--,35400,0,--,641818,677218
1954,--,--,--,--,21900,0,--,581799,603699
1955,--,--,--,--,16500,0,--,750269,766769
1956,--,--,--,--,24400,0,--,515981,540381
1957,--,--,--,--,32000,0,--,444049,476049
1958,--,--,--,--,43300,0,--,535264,578564
1959,--,--,--,--,64700,N/A,--,592954,657654
1960,--,--,--,--,25000,0,--,646573,671573
1961,--,--,--,--,23700,0,--,415433,439133
1962,307841,27053,25910,128475,33700,0,0,--,522979
1963,297903,38899,28137,193499,54800,0,0,--,613238
1964,336529,21106,53361,258155,72400,0,775,--,742326
1965,341100,45066,60935,156588,62600,0,1432,--,667721
1966,351077,29549,44954,131035,70300,0,4790,--,631705
1967,260561,35298,26064,86652,71800,0,1082,--,481457
1968,170119,40394,15939,133732,20073,0,200,--,380457
1969,153599,19333,40803,135754,23064,0,700,--,373253
1970,321029,14605,37491,149772,25589,0,1127,--,549613
1971,406379,10645,23352,161997,42682,0,3321,--,648376
1972,375799,24529,42296,141287,56401,0,3095,--,643407
1973,326732,32928,62306,195122,66182,0,3540,--,686810
1974,268871,24217,61883,125108,30529,0,7260,--,517868
1975,318470,17511,35637,99559,22906,0,4216,--,498299
1976,266556,19178,23835,145545,39612,0,6339,--,501065
1977,280371,31687,35597,142281,23390,0,0,--,513326
1978,287308,33716,64904,159395,22571,0,3955,--,571849
1979,210127,24363,50611,118473,27125,0,5756,--,436455
1980,190350,12375,30074,56078,3813,0,4351,--,297041
1981,203183,14588,36129,53079,5332,0,3537,--,315848
1982,248975,8637,36406,30135,8538,0,12098,--,344789
1983,191367,6122,33145,82009,35115,0,8735,--,356493
1984,231306,11575,16741,91578,63374,0,5440,--,420014
1985,241388,15253,51925,92650,37887,0,10895,--,449998
1986,269545,30268,21604,132014,33188,0,4549,--,491168
1987,263047,23338,25574,132011,29585,0,16278,--,489833
1988,232948,28608,24051,190205,28681,0,10404,--,514897
1989,263553,51958,21662,123865,20193,0,5198,--,486429
1990,236289,44045,19044,73416,29010,0,7569,--,409373
1991,217463,37170,11295,43308,22677,0,8539,--,340452
1992,223459,52573,15524,37072,9573,0,9860,--,348061
1993,203847,62712,20492,47885,897,0,6666,--,342499
1994,165761,48223,7014,12343,2820,0,5927,--,242088
1995,255015,45224,7599,13341,5013,0,5939,--,332131
1996,248112,31924,15801,23587,18239,0,3834,--,341497
1997,284302,36651,18858,15287,6812,0,8388,--,370298
1998,171606,26005,25736,14868,2125,0,1101,--,241441
1999,179035,30874,21493,19214,5176,0,11057,--,266849
2000,241446,25870,35563,14743,4773,0,6327,--,328722
2001,190252,14783,19669,4849,837,3528,10119,--,244037
2002,269967,27209,22767,5301,197,1805,7004,--,334250
2003,280614,20638,13085,1206,116,670,9948,--,326277
2004,272305,34643,25989,7763,1987,2098,11935,--,356720
2005,267286,24824,20021,19271,1221,4014,296124,60430,356554
2006,273695,25804,14588,11438,2545,5999,305498,58321,363819
2007,244152,7320,18790,4296,1928,2145,253617,49765,303382
2008,220766,7412,20429,4428,0,3944,232122,49662,281784
2009,162950,7249,5016,3030,139,2734,172933,22736,195669
2010,161872,18960,19292,13089,586,2994,183826,49760,233586
2011,184884,20406,31305,11355,4547,3601,208891,65742,274633
2012,194628,19904,16816.15,11227,4277.7,5045,219577,55477.94,275054.94
2013,227988,37039,0,10950,9759,1863,266890,43038,309928
2014,167987,49803,3,17149,12132,1329,219119,62232,281351
