2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
186.00,174.00,323.00,234.00,117.00,151.00,174.00,563.00,640.65,265.81,183.74,0.00,75.04
174.00,159.00,312.00,254.00,112.00,145.00,194.00,903.00,619.76,266.36,156.97,0.00,101.17
164.00,147.00,280.00,245.00,108.00,142.00,197.00,1640.00,543.44,259.57,139.93,0.00,97.14
157.00,136.00,253.00,281.00,106.00,208.00,194.00,3920.00,468.46,332.52,126.09,0.00,82.59
150.00,139.00,947.00,330.00,112.00,283.00,192.00,2760.00,409.72,399.36,114.86,0.00,73.29
144.00,173.00,974.00,281.00,156.00,240.00,178.00,1760.00,365.02,336.10,106.24,0.00,66.87
139.00,243.00,707.00,249.00,155.00,259.00,167.00,1280.00,335.79,336.27,99.32,0.00,61.59
135.00,333.00,541.00,228.00,130.00,310.00,155.00,1010.00,307.17,386.77,94.62,0.00,58.71
131.00,368.00,451.00,207.00,122.00,273.00,144.00,902.00,278.64,452.00,94.40,0.00,56.70
126.00,343.00,402.00,192.00,146.00,227.00,141.00,993.00,256.19,395.82,91.07,0.00,54.35
124.00,308.00,377.00,183.00,145.00,213.00,138.00,901.00,244.13,351.59,87.67,0.00,52.30
122.00,272.00,336.00,177.00,126.00,197.00,133.00,763.00,233.17,327.17,85.04,0.00,50.71
128.00,263.00,314.00,176.00,111.00,174.00,132.00,662.00,240.66,311.86,84.47,0.00,49.40
127.00,242.00,291.00,180.00,102.00,157.00,135.00,587.00,222.32,291.82,83.04,0.00,48.46
117.00,216.00,272.00,181.00,95.00,144.00,127.00,529.00,200.42,274.95,78.32,0.00,48.09
109.00,200.00,259.00,176.00,91.00,136.00,117.00,488.00,185.86,260.50,74.15,0.00,48.78
102.00,184.00,245.00,171.00,89.00,129.00,111.00,454.00,176.12,248.60,70.84,0.00,48.57
99.00,172.00,228.00,155.00,87.00,122.00,106.00,421.00,168.75,244.76,70.42,0.00,47.33
100.00,163.00,213.00,141.00,82.00,115.00,103.00,400.00,168.09,234.96,80.77,0.00,45.82
98.00,155.00,199.00,131.00,81.00,111.00,104.00,382.00,159.36,223.09,82.87,0.00,44.56
94.00,149.00,184.00,122.00,79.00,106.00,103.00,352.00,149.12,211.59,77.46,0.00,43.65
90.00,148.00,171.00,114.00,77.00,101.00,101.00,324.00,141.22,225.79,73.41,0.00,42.58
88.00,148.00,160.00,107.00,76.00,97.00,94.00,304.00,136.30,258.18,72.96,0.00,41.26
87.00,144.00,153.00,101.00,75.00,94.00,87.00,285.00,130.02,240.30,73.91,0.00,40.54
84.00,134.00,141.00,96.00,75.00,90.00,83.00,265.00,124.01,231.59,87.25,0.00,39.60
80.00,126.00,149.00,92.00,73.00,85.00,80.00,251.00,118.30,261.54,98.77,0.00,38.57
74.00,122.00,154.00,87.00,70.00,82.00,75.00,236.00,114.48,226.66,94.33,0.00,37.40
69.00,116.00,139.00,83.00,70.00,79.00,70.00,221.00,174.94,205.03,86.13,0.00,36.59
66.00,104.00,129.00,81.00,77.00,75.00,66.00,211.00,204.63,195.08,79.04,0.00,36.50
64.00,95.20,122.00,79.00,78.00,70.00,63.00,202.00,157.60,193.84,74.34,0.00,35.87
63.00,91.00,110.00,76.00,73.00,66.00,61.00,192.00,143.36,191.75,64.64,0.00,34.95
62.00,86.70,108.00,73.00,68.00,64.00,60.00,195.00,125.34,179.31,58.10,0.00,33.27
61.00,86.50,100.00,71.00,64.00,62.00,58.00,196.00,112.37,177.89,56.45,0.00,31.81
59.00,78.00,91.60,71.00,61.00,60.00,57.00,186.00,103.28,164.39,54.10,0.00,30.44
57.00,73.90,93.60,73.00,58.00,59.00,56.00,173.00,96.28,153.72,52.41,0.00,29.56
55.00,69.50,101.00,77.00,55.00,58.00,55.00,162.00,89.70,145.65,51.54,0.00,28.63
54.00,65.30,103.00,79.00,52.00,59.00,54.00,154.00,84.08,138.75,51.15,0.00,28.06
53.00,61.10,117.00,76.00,50.00,58.00,54.00,146.00,81.00,132.69,50.85,0.00,27.28
52.00,57.00,114.00,69.00,48.00,56.00,54.00,138.00,77.51,126.79,50.15,0.00,26.62
51.00,56.80,104.00,65.00,47.00,53.00,54.00,128.00,73.67,121.73,49.08,0.00,27.05
48.00,52.70,106.00,64.00,45.00,51.00,53.00,121.00,71.24,116.22,47.69,0.00,27.01
46.00,48.60,95.00,66.00,44.00,49.00,55.00,117.00,71.86,111.77,46.69,0.00,27.51
45.00,48.30,83.70,69.00,44.00,47.00,56.00,113.00,77.25,108.62,45.94,0.00,27.82
43.00,44.30,72.10,67.00,45.00,46.00,56.00,106.00,77.90,103.17,45.65,0.00,27.25
43.00,40.10,73.40,63.00,44.00,44.00,52.00,102.00,70.65,100.12,45.18,0.00,25.61
43.00,40.10,65.20,60.00,42.00,42.00,48.00,97.00,70.88,98.98,43.94,0.00,23.84
43.00,39.50,60.00,58.00,42.00,42.00,45.00,92.00,81.01,97.65,43.68,0.00,22.35
41.00,37.80,56.80,55.00,50.00,41.00,43.00,88.00,88.92,96.58,43.44,0.00,21.20
39.00,35.80,57.10,52.00,65.00,41.00,41.00,85.00,105.87,91.92,44.59,0.00,19.99
37.00,35.20,55.60,50.00,60.00,40.00,39.00,83.00,109.47,109.02,44.01,0.00,19.16
35.00,34.00,60.20,47.00,50.00,39.00,37.00,79.00,85.23,93.17,42.94,0.00,18.17
34.00,33.00,59.60,47.00,45.00,39.00,37.00,76.00,73.42,83.34,41.88,0.00,17.11
32.00,32.00,56.60,45.00,42.00,38.00,36.00,73.00,66.11,78.53,40.62,0.00,16.36
31.00,31.00,52.90,44.00,40.00,38.00,35.00,69.00,60.14,74.14,39.71,0.00,15.85
30.00,30.00,53.10,41.00,38.00,39.00,34.00,64.00,57.51,71.36,38.73,0.00,15.76
29.00,29.00,50.90,38.00,36.00,38.00,33.00,61.00,55.63,68.50,37.81,0.00,15.90
28.00,27.00,48.60,36.00,34.00,37.00,31.00,60.00,54.01,66.62,36.79,0.00,15.94
28.00,27.00,48.50,35.00,33.00,36.00,30.00,58.00,52.43,63.91,35.49,0.00,15.53
27.00,26.00,46.20,35.00,31.00,35.00,29.00,57.00,50.76,61.55,34.14,0.00,15.06
26.00,26.00,46.10,34.00,30.00,34.00,27.00,56.00,48.94,60.66,33.93,0.00,14.13
24.00,25.00,46.00,34.00,29.00,34.00,25.00,55.00,47.66,58.90,33.86,0.00,12.82
22.00,24.00,46.70,34.00,28.00,34.00,24.00,55.00,46.43,57.64,34.99,0.00,11.40
22.00,24.00,44.90,34.00,26.00,34.00,23.00,54.00,45.20,56.41,36.82,0.00,10.64
23.00,24.00,44.80,34.00,24.00,33.00,23.00,52.00,44.04,55.38,38.10,0.00,10.84
24.00,24.00,41.10,33.00,23.00,32.00,22.00,51.00,43.06,54.15,37.92,0.00,10.88
26.00,25.00,36.70,32.00,21.00,31.00,22.00,50.00,42.50,52.72,36.44,0.00,10.56
29.00,26.00,35.70,31.00,21.00,30.00,23.00,48.00,42.11,52.24,35.12,0.00,11.61
30.00,28.00,35.60,30.00,23.00,29.00,26.00,47.00,42.12,51.89,33.11,0.00,11.76
28.00,27.00,34.70,29.00,24.00,28.00,28.00,46.00,41.47,50.86,33.32,0.00,10.87
25.00,25.00,33.00,28.00,24.00,27.00,30.00,45.00,41.42,49.09,33.53,0.00,10.75
23.00,23.00,31.90,28.00,23.00,27.00,31.00,45.00,39.55,48.05,32.69,0.00,10.66
22.00,22.00,30.20,27.00,21.00,26.00,29.00,44.00,38.50,46.88,33.21,0.00,10.56
21.00,20.00,29.30,27.00,19.00,25.00,27.00,42.00,37.60,45.51,33.39,0.00,10.46
19.00,20.00,30.00,26.00,18.00,25.00,27.00,41.00,37.23,44.41,33.33,0.00,10.36
19.00,19.00,29.10,26.00,16.00,24.00,26.00,39.00,37.22,43.14,33.08,0.00,10.26
18.00,19.00,28.20,25.00,15.00,23.00,25.00,38.00,35.73,41.86,31.84,0.00,10.16
17.00,18.00,27.30,25.00,15.00,22.00,25.00,36.00,34.65,40.87,31.40,0.00,10.06
16.00,18.00,26.30,24.00,14.00,21.00,25.00,35.00,33.47,40.13,30.85,0.00,9.96
16.00,17.00,27.20,24.00,13.00,20.00,24.00,35.00,32.34,39.50,29.96,0.00,9.86
15.00,17.00,30.40,23.00,46.00,21.00,23.00,34.00,31.68,39.20,29.54,0.00,9.76
15.00,16.00,31.10,23.00,107.00,22.00,22.00,33.00,31.11,38.66,28.74,0.00,9.66
14.00,16.00,30.30,22.00,73.00,41.00,21.00,32.00,30.18,37.54,27.69,0.00,9.56
14.00,24.00,30.20,21.00,52.00,76.00,20.00,31.00,29.90,36.50,26.75,0.00,9.47
13.00,29.00,29.30,20.00,42.00,63.00,19.00,30.00,30.00,35.34,26.47,0.00,9.37
13.00,31.00,29.20,20.00,36.00,48.00,18.00,30.00,28.74,34.30,26.98,0.00,9.27
13.00,37.00,29.10,19.00,32.00,40.00,18.00,29.00,27.81,33.34,27.09,0.00,9.17
12.00,61.00,29.00,19.00,28.00,36.00,18.00,27.00,27.03,33.06,28.17,0.00,9.07
13.00,70.00,28.00,19.00,26.00,32.00,18.00,27.00,26.04,33.50,29.33,0.00,8.97
12.00,48.00,27.00,18.00,24.00,29.00,18.00,26.00,24.99,32.91,29.43,0.00,8.88
12.00,36.00,27.00,18.00,22.00,28.00,20.00,25.00,24.38,31.32,30.10,0.00,8.84
12.00,30.00,27.00,17.00,20.00,26.00,22.00,27.00,23.90,30.21,31.18,0.00,13.91
12.00,26.00,27.00,17.00,18.00,24.00,21.00,30.00,23.65,30.12,30.26,0.00,18.18
11.00,25.00,27.00,16.00,16.00,23.00,21.00,32.00,22.67,30.28,28.98,0.00,14.03
10.00,23.00,27.00,15.00,15.00,23.00,20.00,33.00,21.98,29.77,28.63,0.00,13.14
9.90,23.00,26.00,15.00,14.00,22.00,18.00,31.00,21.11,29.19,27.62,0.00,12.87
9.60,22.00,25.00,15.00,21.00,21.00,17.00,29.00,20.18,28.11,26.82,0.00,12.03
9.20,22.00,25.00,14.00,35.00,21.00,24.00,27.00,19.57,27.39,26.87,0.00,10.91
9.00,21.00,24.00,14.00,37.00,20.00,32.00,25.00,19.16,26.75,27.97,0.00,10.97
9.90,20.00,24.00,13.00,32.00,18.00,45.00,25.00,18.46,26.05,28.50,0.00,12.48
13.00,19.00,24.00,13.00,25.00,17.00,50.00,31.00,17.69,25.67,29.72,0.00,12.41
20.00,18.00,23.00,13.00,22.00,16.00,44.00,37.00,17.05,25.29,30.30,0.00,11.76
33.00,18.00,25.00,13.00,18.00,15.00,40.00,37.00,16.55,24.87,29.47,0.00,11.12
47.00,19.00,27.00,12.00,16.00,14.00,37.00,33.00,15.91,24.43,27.52,0.00,10.45
34.00,19.00,29.00,12.00,14.00,14.00,35.00,30.00,15.30,23.62,26.41,0.00,9.73
26.00,22.00,30.00,12.00,13.00,13.00,33.00,27.00,14.98,23.02,25.71,0.00,9.03
21.00,26.00,29.00,12.00,13.00,13.00,32.00,25.00,14.98,22.41,25.17,0.00,8.33
18.00,29.00,27.00,17.00,13.00,12.00,31.00,24.00,15.41,21.88,24.63,0.00,7.64
17.00,31.00,26.00,27.00,13.00,12.00,31.00,23.00,15.69,21.62,24.34,0.00,7.17
17.00,43.00,33.00,25.00,15.00,11.00,31.00,23.00,16.18,20.71,26.76,0.00,16.29
18.00,192.00,35.00,26.00,15.00,11.00,30.00,27.00,16.04,20.03,27.23,0.00,37.35
20.00,236.00,34.00,26.00,15.00,11.00,30.00,39.00,15.26,19.59,27.68,0.00,42.09
19.00,139.00,32.00,28.00,14.00,11.00,31.00,67.00,14.91,19.05,28.76,0.00,34.00
17.00,91.00,28.00,29.00,14.00,11.00,31.00,59.00,14.23,18.55,44.83,0.00,26.91
16.00,69.00,26.00,29.00,13.00,11.00,31.00,46.00,13.63,18.14,67.14,0.00,22.88
15.00,55.00,25.00,26.00,12.00,11.00,31.00,38.00,13.44,17.67,69.32,0.00,20.07
14.00,47.00,24.00,23.00,11.00,12.00,31.00,34.00,13.11,17.15,57.80,0.00,17.69
13.00,41.00,23.00,21.00,10.00,12.00,31.00,31.00,14.34,16.95,102.57,0.00,15.97
12.00,38.00,23.00,19.00,9.90,15.00,30.00,29.00,14.89,16.64,102.35,0.00,14.83
11.00,36.00,22.00,17.00,9.60,14.00,29.00,27.00,15.37,16.16,73.19,0.00,13.70
11.00,35.00,22.00,16.00,14.00,13.00,29.00,26.00,14.81,15.72,93.50,0.00,12.61
